{DhanV, 1}
śrīgaṇeśagīrbhyāṃ namaḥ | [DhanV, 1 1.1]
tatastu vimalaṃ jñeyaṃ pāyayecchastram uttamam | [DhanV, 1 64.2]
sarvalohāstu ye bāṇā nārācāste prakīrtitāḥ | [DhanV, 1 65.1]
pañcabhiḥ pṛthulaiḥ pakṣairyuktāḥ sidhyanti karhicit | [DhanV, 1 65.2]
nālikā laghavo bāṇā nālayantreṇa coditāḥ | [DhanV, 1 66.1]
yujyante dūrapāteṣu durge yuddheṣu te matāḥ | [DhanV, 1 66.2]
sthānānyaṣṭau vidheyāni yojayedbhinnakarmaṇā | [DhanV, 1 67.2]
sṛṣṭyaḥ pañca samākhyātā vyāyāḥ pañca prakīrtitāḥ | [DhanV, 1 67.3]
agratovāmapādena dakṣiṇaṃ jānu kuñcitam | [DhanV, 1 68.1]
ālīḍhe tu prakartakaṃ tathā caivānu kuñcitam | [DhanV, 1 68.2]
dakṣiṇaṃ tu purastādvā dūrapāte viśiṣyate | [DhanV, 1 69.1]
pādau na vistarau kāryau samau hastapramāṇataḥ | [DhanV, 1 69.2]
viśeṣasthānakaṃ jñeyaṃ kūṭalakṣyasya bhedane | [DhanV, 1 70.1]
same pāte samau pādau niṣkampaṃ ca susaṃgatau | [DhanV, 1 70.2]
asame ca purobhāge hastamātreṇa taṃ viduḥ | [DhanV, 1 71.1]
ākuñcitorū dvau tatra jānubhyāṃ dharaṇīgatau | [DhanV, 1 71.2]
vyadravadbhuvam āsthāya sthānakaṃ dṛḍhabhedanam | [DhanV, 1 72.1]
savyajānugataṃ bhūmau dakṣiṇaṃ ca sukuñcitam | [DhanV, 1 72.2]
savyaṃ jānu nataṃ bhūmau dakṣiṇaṃ na ca kuñcitam | [DhanV, 1 73.1]
agrato yatra dātavyaṃ taṃ vidyād garuḍaṃ kramam | [DhanV, 1 73.2]
padmāsanaṃ prasiddhaṃ tu upaviśya yathākramam | [DhanV, 1 74.1]
dhanvinām atra vijñeyaṃ sthānakaṃ śubhalakṣaṇam | [DhanV, 1 74.2]
patākā guṇamuṣṭiśca siṃhakarṇastathaiva ca | [DhanV, 1 75.2]
matsarī kākatuṇḍī ca yojanīyā yathākramam | [DhanV, 1 75.3]
dīrghā tu tarjanī yatra hyāśritāṅguṣṭhamūlakam | [DhanV, 1 76.1]
patākā sā ca vijñeyā nālikā dūramokṣaṇe | [DhanV, 1 76.2]
tarjanīṃ madhyamāmadhyam aṅguṣṭho viśate yadi | [DhanV, 1 77.1]
guṇamuṣṭistu sā jñeyā sthūle nārācamocaṇaiḥ | [DhanV, 1 77.2]
aṅguṣṭhamadhyadeśaṃ tu tarjanyagraṃ śubhaṃ sthitam | [DhanV, 1 78.1]
siṃhakarṇaḥ sa vijñeyaḥ dṛḍhalakṣyasya vedhane | [DhanV, 1 78.2]
aṅguṣṭhanakhamūle tu tarjanyagraṃ susaṃsthitam | [DhanV, 1 79.1]
matsarī sā ca vijñeyā sūkṣmalakṣyasya bhedane | [DhanV, 1 79.2]
aṅguṣṭhāgre tu tarjanyā mukhaṃ yatra niveśitam | [DhanV, 1 80.1]
kākatuṇḍī ca sā jñeyā sthūlalakṣyeṣu yojitā | [DhanV, 1 80.2]
sandhānaṃ trividhaṃ proktam adha ūrdhvaṃ samaṃ yadā | [DhanV, 1 81.1]
yojayet triprakāraṃ hi kāryeṣvapi yathākramam | [DhanV, 1 81.2]
atyantadūrapātitvaṃ same lakṣyaṃ suniścitam | [DhanV, 1 82.1]
dṛḍhāskoṭaṃ prakurvīta ūrdhvaṃ sandhānayojitam | [DhanV, 1 82.2]
kaiśikaḥ śaramūle ca śaraśūṅge ca sāttvikaḥ | [DhanV, 1 83.2]
śravaṇe vatsakarṇaśca grīvāyāṃ bharato bhavet | [DhanV, 1 83.3]
aṃsake skandhanāmā ca vyāyāḥ pañca prakīrtitāḥ | [DhanV, 1 84.1]
kaiśikaścitrayuddheṣu adholakṣyeṣu sāttvikaḥ | [DhanV, 1 84.2]
vatsakarṇaśca vijñeyaḥ bharato dṛḍhabhedane | [DhanV, 1 85.1]
dṛḍhabhede ca dūre ca skandhanāmānam uddiśet | [DhanV, 1 85.2]
lakṣyaṃ caturvidhaṃ jñeyaṃ sthiraṃ caiva calaṃ tathā | [DhanV, 1 86.1]
calācalaṃ dvayacalaṃ iti bhedā yathākramam | [DhanV, 1 86.2]
ātmānaṃ susthiraṃ kṛtvā lakṣyaṃ caiva sthiraṃ budhaḥ | [DhanV, 1 87.1]
vedhayet triprakāraṃ tu sthiravedhī sa ucyate | [DhanV, 1 87.2]
calaṃ tu vedhayedyastu ātmanā sthirasaṃsthitaḥ | [DhanV, 1 88.1]
calavedhīti sa prokta ācāryeṇa śivena vai | [DhanV, 1 88.2]
dhanvī tu calate yatra sthiralakṣye samāhitaḥ | [DhanV, 1 89.1]
calācalaṃ bhavettatra svapnameyam udīritam | [DhanV, 1 89.2]
ubhāveva calau yatra lakṣyaṃ vāpi dhanurdharaḥ | [DhanV, 1 90.1]
tad vijñeyaṃ dvayacalaṃ śrameṇaiva hi sādhakaḥ | [DhanV, 1 90.2]
śrameṇācalitaṃ lakṣyaṃ dūraṃ ca bahubhedanam | [DhanV, 1 91.1]
śrameṇa kaṭhinā muṣṭiḥ śīghrasādhanakāriṇī | [DhanV, 1 91.2]
śrameṇa citravedhitvaṃ śrameṇa prāpyate jayaḥ | [DhanV, 1 92.1]
tasmād gurusamīpe tu śramaḥ kāryo vijānatā | [DhanV, 1 92.2]
prathamaṃ vāmahastena yaḥ śramaṃ kurute naraḥ | [DhanV, 1 93.1]
tasya cāpakriyāsiddhir jāyate śīghrameva ca | [DhanV, 1 93.2]
vāmahastena saṃsiddhe paścāddakṣiṇam ārabhet | [DhanV, 1 94.1]
ubhābhyāṃ ca śramaṃ kuryānnārācaiśca śaraistathā | [DhanV, 1 94.2]
vāmenaiva śramaṃ kuryāt susiddhe dakṣiṇe kare | [DhanV, 1 95.1]
viśākhasthānake caiva tathā vyāye ca kaiśike | [DhanV, 1 95.2]
udite bhāskare lakṣyaṃ paścimāyāṃ niveśayet | [DhanV, 1 96.1]
aparāhṇe ca kartavyaṃ lakṣyaṃ pūrvadigāśritam | [DhanV, 1 96.2]
uttareṇa sadā kāryaṃ praśasyamavarodhakam | [DhanV, 1 97.1]
saṃgrāmeṇa vinā kāryaṃ na lakṣyaṃ dakṣiṇāmukham | [DhanV, 1 97.2]
ṣaṣṭikāṇḍāntare lakṣyaṃ jyeṣṭhalakṣyaṃ prakīrtitam | [DhanV, 1 98.1]
catvāriṃśanmadhyamaṃ ca viṃśatiśca kaniṣṭhakam | [DhanV, 1 98.2]
śarāṇāṃ kathitaṃ hyetannārācānām atho śṛṇu | [DhanV, 1 99.1]
catvāriṃśat ṣoḍaśaiva nārācānāṃ bhavettataḥ | [DhanV, 1 100.1]
catuḥśataiśca kāṇḍānāṃ yo hi lakṣyaṃ samabhyaset | [DhanV, 1 100.2]
sūryodaye cāstakāle sa jyeṣṭho dhanvināṃ bhavet | [DhanV, 1 100.3]
triśatairmadhyamaścaiva dviśatābhyāṃ kaniṣṭhakaḥ | [DhanV, 1 101.1]
lakṣyaṃ ca puruṣonmānaṃ kuryāccandrakasaṃyutam | [DhanV, 1 101.2]
ūrdhvavedhī bhavecchreṣṭho nābhivedhī tu madhyamaḥ | [DhanV, 1 102.1]
yaḥ pādavedhī lakṣyasya sa kaniṣṭhatamo bhavet | [DhanV, 1 102.2]
ataḥ paraṃ pravakṣyāmi śarāṇāṃ lakṣaṇaṃ śubham | [DhanV, 1 103.1]
sthūlaṃ caivāti sūkṣmaṃ ca hyapakvapakvabhūmijam | [DhanV, 1 103.2]
ādravaṃ yad viśīrṇaṃ ca varjayed īdṛśaṃ śaram | [DhanV, 1 104.1]
pūrṇagranthi supakvaṃ ca pāṇḍuraṃ samayāhṛtam | [DhanV, 1 104.2]
kaṭhinaṃ vartulaṃ kāṇḍaṃ gṛhṇīyātsupradeśajam | [DhanV, 1 105.1]
dvau hastau muṣṭihīnau ca dairghye sthaulye kaniṣṭhikāḥ | [DhanV, 1 105.2]
vidheyāḥ śaramāṇe tu candreṇākarṣayettataḥ | [DhanV, 1 106.1]
kaṅkahaṃsaśaśādānāṃ matsyādakrauñcakokilāḥ | [DhanV, 1 106.2]
gṛdhrāṇāṃ ca kuraṅgānāṃ pakṣā eteṣu śobhanāḥ | [DhanV, 1 106.3]
ekasyaiva śarasyaiva catuḥpakṣāṃśca kārayet | [DhanV, 1 107.1]
ṣaḍaṅgulapramāṇeṇa pakṣabhedaṃ na kārayet | [DhanV, 1 107.2]
daśāṅgulamitāḥ pakṣāḥ śārṅgacāpasya mārgaṇe | [DhanV, 1 107.3]
yojyā dṛḍhāścatuḥsaṃkhyāḥ saṃnaddhāḥ snāyuḥ tantubhiḥ | [DhanV, 1 108.1]
śarāśca trividhā jñeyāḥ strīpuṃsakanapuṃsakāḥ | [DhanV, 1 108.2]
agre sthūlā bhavennārī paścātsthūlo bhavennaraḥ | [DhanV, 1 109.1]
samaṃ napuṃsakaṃ jñeyaṃ tallakṣyārthaṃ praśasyate | [DhanV, 1 109.2]
dūrapātaṃ yuvatyāśca puruṣo bhedane dṛḍham | [DhanV, 1 110.1]
napuṃsako lakṣyabhedī śarāṇāṃ lakṣaṇaṃ viduḥ | [DhanV, 1 110.2]
aṣṭamī ca tathāmā ca varjanīyā caturdaśī | [DhanV, 1 111.1]
pūrṇimā ca dinaṃ yāvadvarjayeccāpakarmasu | [DhanV, 1 111.2]
akālagarjito devo durdinaṃ vā yadā bhavet | [DhanV, 1 112.1]
pūrvakāṇḍahate lakṣye anadhyāyaṃ pracakṣate | [DhanV, 1 112.2]
śramaṃ ca kurvato yatra bhujaṅgo yadi dṛśyate | [DhanV, 1 113.1]
athavā bhajyate cāpaṃ yadaiva śramakarmaṇi | [DhanV, 1 113.2]
truṭyate vā guṇo yatra prathame bāṇamokṣaṇe | [DhanV, 1 114.1]
śramaṃ tatra na kurvīta śastre matimatāṃ varaḥ | [DhanV, 1 114.2]
kriyākapālān vakṣyāmi śramasādhyān suviśrutān | [DhanV, 1 115.1]
yeṣāṃ vijñānamātreṇa siddhirbhavati nānyathā | [DhanV, 1 115.2]
prathamaṃ cāpamāropya tūlikāṃ vallayet tataḥ | [DhanV, 1 116.1]
sthānakaṃ tu tataḥ kuryād bāṇopari karaṃ nyaset | [DhanV, 1 116.2]
tolanaṃ dhanuṣaḥ sthairyaṃ kartavyaṃ vāmapāṇinā | [DhanV, 1 117.1]
ādānaṃ tu tataḥ kṛtvā sandhānaṃ tu tataḥ param | [DhanV, 1 117.2]
lakṣyādākṛṣya cāpena bhūmivedhaṃ na kārayet | [DhanV, 1 118.1]
namaskuryuḥ śivaṃ vighnarājaṃ guruvaraṃ raṇe | [DhanV, 1 118.2]
yācitavyā gurorājñā bāṇasyākarṣaṇaṃ prati | [DhanV, 1 119.1]
prāṇavāyuṃ prayatena bāṇena saha pūrayet | [DhanV, 1 119.2]
kumbhakena samākṛṣya huṃkāreṇa visarjayet | [DhanV, 1 120.1]
ityabhyāsakriyā kāryā dhanvinā siddhimicchatā | [DhanV, 1 120.2]
ṣaṇmāsāt sidhyate muṣṭiḥ śarāḥ saṃvatsareṇa tu | [DhanV, 1 121.1]
nārācāstasya sidhyanti yasya tuṣyenmaheśvaraḥ | [DhanV, 1 121.2]
puṣpavaddhārayed bāṇaṃ sarpavat pīḍayeddhanuḥ | [DhanV, 1 122.1]
dhanavaccintayellakṣyaṃ yadīcchetsiddhimātmanaḥ | [DhanV, 1 122.2]
kriyāmicchanti cācāryā dūram icchanti bhārgavāḥ | [DhanV, 1 123.1]
rājāno dṛṣṭim icchanti lakṣyam icchanti cetare | [DhanV, 1 123.2]
janānurañjanaṃ yena lakṣyaghātāt prajāyate | [DhanV, 1 124.1]
hīnenāpīṣuṇā tasmāt praśastaṃ lakṣyavedhanam | [DhanV, 1 124.2]
viśākhasthānake sthitvā samaṃ sandhānamācaret | [DhanV, 1 125.1]
gopucchamukhabāṇena siṃhakarṇena muṣṭinā | [DhanV, 1 125.2]
ākarṣet kaiśikavyāye śikhāmācālayettataḥ | [DhanV, 1 126.1]
pūrvāparau samau kāryau samāṃsau niścalau karau | [DhanV, 1 126.2]
cakṣuṣī spandayennaiva dṛṣṭiṃ lakṣye niyojayet | [DhanV, 1 127.1]
muṣṭinācchāditaṃ lakṣyaṃ śarasyāgre niyojayet | [DhanV, 1 127.2]
manomuṣṭigataṃ dhyātvā tataḥ kāṇḍaṃ visarjayet | [DhanV, 1 128.1]
sa ca lakṣyeṣu kartavyo lakṣye yodho jitaśramaḥ | [DhanV, 1 128.2]
ādānaṃ caiva tūṇīrāt sandhānaṃ karṣaṇaṃ tathā | [DhanV, 1 129.1]
kṣepaṇaṃ ca tvarāyukto bāṇasya kurute tu yaḥ | [DhanV, 1 129.2]
nityābhyāsavaśāt tasya śīghrasādhanatā bhavet | [DhanV, 1 130]
pratyālīḍhe kṛte sthāne adhaḥ sandhānamācaret | [DhanV, 1 131.1]
muṣṭyā patākayā bāṇaṃ strīsaṃjñaṃ dūrapātanam | [DhanV, 1 131.2]
darduravad upasthāya hyūrdhvaṃ sandhānamācaret | [DhanV, 1 132.2]
skandhavyāyena vajrasya muṣṭyā puṃmārgaṇe na ca | [DhanV, 1 132.3]
atyantasauṣṭhavaṃ bāhvor jāyate dṛḍhabheditā | [DhanV, 1 132.4]
sūcīmukhā mīnapucchā bhrāmarī ca tṛtīyakā | [DhanV, 1 133.1]
śarāṇāṃ gatayastisraḥ praśastāḥ kathitāḥ budhaiḥ | [DhanV, 1 133.2]
sūcīmukhā gatistasya sāyakasya prajāyate | [DhanV, 1 134.1]
patraṃ vilokitavyaṃ ca athavā hīnapatrakam | [DhanV, 1 134.2]
karkaśe na tu cāpena yat kṛṣyeddhīnamuṣṭinā | [DhanV, 1 135.1]
matsyapucchā gatistasya sāyakasya prakīrtitā | [DhanV, 1 135.2]
bhrāmarī kathitā hyeṣā sadbhiśca śramakarmaṇi | [DhanV, 1 136.1]
ṛjutve na vinā yāti kṣepyamānastu sāyakaḥ | [DhanV, 1 136.2]
vāmagā dakṣiṇā caiva ūrdhvagādhogatā tathā | [DhanV, 1 137.1]
catasro gatayaḥ proktāḥ bāṇaskhalanahetavaḥ | [DhanV, 1 137.2]
kampate guṇamuṣṭistu mārgaṇasya tu pṛṣṭhataḥ | [DhanV, 1 138.1]
saṃmukhīsyād dhanurmuṣṭistadā vāme gatirbhavet | [DhanV, 1 138.2]
grahaṇaṃ śithilaṃ yasya ṛjutvena vivarjitam | [DhanV, 1 139.1]
pārśve tu dakṣiṇaṃ yāti sāyakasya na saṃśayaḥ | [DhanV, 1 139.2]
ūrdhvaṃ bhaveccāpamuṣṭir guṇamuṣṭiradho bhavet | [DhanV, 1 140.1]
samukto mārgaṇo lakṣyādūrdhvaṃ yāti na saṃśayaḥ | [DhanV, 1 140.2]
