{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
dhātubhir gandhakādyaiśca nirdravairmardito rasaḥ | [RCūM, 4 6.1]
suślakṣṇaḥ kajjalābhāsaḥ kajjalītyabhidhīyate | [RCūM, 4 6.2]
sadravā marditā saiva rasapaṅka iti smṛtaḥ | [RCūM, 4 7]
arkāṃśatulyādrasato'tha gandhānniṣkārdhatulyāttruṭiśo 'bhikhalve | [RCūM, 4 8.1]
arkātape tīvratare sagharme piṣṭī bhavetsā navanītarūpā | [RCūM, 4 8.2]
khalve vimardya gandhena dugdhena saha pāradam | [RCūM, 4 9.1]
peṣaṇāt piṣṭatāṃ yāti sāpi piṣṭī matā paraiḥ | [RCūM, 4 9.2]
caturthāṃśasuvarṇena rasena kṛtapiṣṭikā | [RCūM, 4 10.1]
bhavetpātanapiṣṭī sā rasasyottamasiddhidā | [RCūM, 4 10.2]
rūpyaṃ vā jātarūpaṃ vā rasagandhādibhirhatam | [RCūM, 4 11.1]
samutthitaṃ hi bahuśaḥ sā kṛṣṭī hematārayoḥ | [RCūM, 4 11.2]
kṛṣṭī kṣiptā suvarṇāntarna varṇo hīyate tayā | [RCūM, 4 12.1]
svarṇakṛṣṭyā kṛtaṃ bījaṃ rasasya parirañjanam | [RCūM, 4 12.2]
tāmraṃ tīkṣṇasamāyuktaṃ drutaṃ nikṣipya bhūriśaḥ | [RCūM, 4 13.1]
sagandhe lakucadrāve nirgataṃ varalohakam | [RCūM, 4 13.2]
tena raktīkṛtaṃ svarṇaṃ svarṇaraktītyudāhṛtam | [RCūM, 4 14.1]
nikṣiptā sā drute svarṇe varṇotkarṣavidhāyinī | [RCūM, 4 14.2]
tārasya rañjanī cāpi bījarāgavidhāyinī | [RCūM, 4 14.3]
evameva prakartavyā tāraraktī manoharā | [RCūM, 4 15.1]
rañjanī khalu rūpyasya bījānāmapi rañjanī | [RCūM, 4 15.2]
mṛtena vā baddharasena vānyallohena vā sādhitamanyaloham | [RCūM, 4 16.1]
sitatvapītatvamupāgataṃ taddalaṃ hi candrānalayoḥ prasiddham | [RCūM, 4 16.2]
ābhāsakṛtabaddhena rasena saha yojitam | [RCūM, 4 17.1]
sādhitaṃ cānyalohena sitaṃ pītaṃ hi taddalam | [RCūM, 4 17.2]
tāpyena nihataṃ kāntaṃ saptavāraṃ samutthitam | [RCūM, 4 18.1]
śilayāpyāhataṃ nāgaṃ vāraṃ vāraṃ samutthitam | [RCūM, 4 18.2]
tad dvayaṃ dvipalaṃ cātha tāpyabhasma paladvayam | [RCūM, 4 19.1]
sarvaṃ nikṣipya mūṣāyāṃ saptavāraṃ dhamed dṛḍham | [RCūM, 4 19.2]
tad ayonāgamityuktaṃ sādhakaṃ dehalohayoḥ | [RCūM, 4 20.1]
rasena sāraṇāyantre tadīyā guṭikā kṛtā | [RCūM, 4 20.2]
sā dhṛtā vadane hanti mehavyūhamaśeṣataḥ | [RCūM, 4 21.1]
kurute dantadārḍhyaṃ ca dṛṣṭiṃ gṛdhradṛśāviva | [RCūM, 4 21.2]
tathānyān netrajān rogān rogān jatrūrdhvasambhavān | [RCūM, 4 21.3]
mākṣikeṇa hataṃ tāmraṃ daśavāraṃ samutthitam | [RCūM, 4 22.1]
tadvadviśuddhanāgaṃ hi dvitayaṃ taccatuṣpalam | [RCūM, 4 22.2]
nīlāñjanahataṃ bhūyaḥ saptavāraṃ samutthitam | [RCūM, 4 23.1]
iti saṃsiddhametaddhi śulbanāgaṃ prakīrtyate | [RCūM, 4 23.2]
sāritastena sūtendro vadane vidhṛto nṛṇām | [RCūM, 4 24.1]
nihanti māsamātreṇa mehavyūhamaśeṣataḥ | [RCūM, 4 24.2]
pathyāśanasya varṣeṇa palitaṃ valibhiḥ saha | [RCūM, 4 25.1]
gṛdhradṛṣṭirlasatpuṣṭiḥ sarvārogyasamanvitaḥ | [RCūM, 4 25.2]
lohaṃ lohāntare kṣiptaṃ dhmātaṃ nirvāpitaṃ drave | [RCūM, 4 26.1]
pāṇḍupītaprabhaṃ jātaṃ piñjarītyabhidhīyate | [RCūM, 4 26.2]
bhāgāḥ ṣoḍaśa tārasya tathā dvādaśa bhāskaraḥ | [RCūM, 4 27.1]
ekatrāvartitāstena candrārkamiti kathyate | [RCūM, 4 27.2]
sādhyalohe'nyalohaṃ cet prakṣiptaṃ vaṅkanālataḥ | [RCūM, 4 28.1]
nirvāpaṇaṃ tu yatproktaṃ vaidyairnirvāhaṇaṃ khalu | [RCūM, 4 28.2]
kṣepyaṃ nirvāhaṇaṃ dravyaṃ nirvāhye samabhāgikam | [RCūM, 4 29.1]
āvāpyaṃ vāpanīye ca bhāge diṣṭe ca diṣṭavat | [RCūM, 4 29.2]
mṛtaṃ tarati tattoye lohaṃ vāritaraṃ hi tat | [RCūM, 4 30]
aṅguṣṭhatarjanīghṛṣṭaṃ tattadrekhāntare viśet | [RCūM, 4 31.1]
mṛtaṃ lohaṃ taduddiṣṭaṃ rekhāpūrṇābhidhānataḥ | [RCūM, 4 31.2]
guḍaguñjāsukhasparśamadhvājyaiḥ saha yojitam | [RCūM, 4 32.1]
nāyāti prakṛtiṃ dhmānādapunarbhavamucyate | [RCūM, 4 32.2]
rūpyeṇa saha saṃyuktaṃ dhmātaṃ rūpyeṇa no laget | [RCūM, 4 33.1]
tadā nirutthamityuktaṃ lohaṃ tadapunarbhavam | [RCūM, 4 33.2]
evaṃ rūpyaṃ sanāgaṃ ced dhmātaṃ tāmre lagenna hi | [RCūM, 4 34.1]
tadā nirutthaṃ mantavyaṃ rañjanaṃ ca bhiṣagvaraiḥ | [RCūM, 4 34.2]
nirvāhaṇaviśeṣeṇa tattadvarṇaṃ bhavedyadā | [RCūM, 4 35.1]
mṛdulaṃ citrasaṃskāraṃ tadbījamiti kathyate | [RCūM, 4 35.2]
idameva vinirdiṣṭaṃ vaidyairuttaraṇaṃ khalu | [RCūM, 4 36.1]
saṃsṛṣṭalohayor ekalohasya parināśanam | [RCūM, 4 36.2]
pradhmānād vaṅkanālena tattāḍanamudāhṛtam | [RCūM, 4 36.3]
cūrṇābhraṃ śālisaṃyuktaṃ vastre baddhaṃ tu kāñjike | [RCūM, 4 37.1]
niryātaṃ mardanādvastrāddhānyābhramiti kathyate | [RCūM, 4 37.2]
kṣārāmladrāvakairyuktaṃ dhmātamākarakoṣṭhake | [RCūM, 4 38.1]
yastato nirgataḥ sāraḥ sattvamityabhidhīyate | [RCūM, 4 38.2]
koṣṭhikā śikharāpūrṇaiḥ koliśairdhmānayogataḥ | [RCūM, 4 39.1]
mūṣākaṇṭhamanuprāptair ekakoliśikho mataḥ | [RCūM, 4 39.2]
śikhitrāḥ pāvakocchiṣṭā mṛtāṅgārāśca kokilāḥ | [RCūM, 4 40.1]
kṛṣṇāṅgāḥ koliśāśceti paryāyāste parasparam | [RCūM, 4 40.2]
drāvaṇe sattvapāte ca mādhukāḥ khādirāḥ śubhāḥ | [RCūM, 4 41.1]
uddrāve vaṃśajāste tu svedane bādarāḥ śubhāḥ | [RCūM, 4 41.2]
vidyādharākhyayantrasthādārdrakadrāvamarditāt | [RCūM, 4 42.1]
samākṛṣṭo raso yo'sau hiṅgulākṛṣṭa ucyate | [RCūM, 4 42.2]
svalpatālayutaṃ kāṃsyaṃ vaṅkanālena tāḍitam | [RCūM, 4 43.1]
muktavaṅgaṃ hi tattāmraṃ ghoṣākṛṣṭam udāhṛtam | [RCūM, 4 43.2]
palaviṃśati nāgasya śuddhasya kṛtacakrikam | [RCūM, 4 44.1]
rūpikādugdhasampiṣṭaśilayā parilepitam | [RCūM, 4 44.2]
śarāvasampuṭe ruddhvā pacet kroḍapuṭena tam | [RCūM, 4 45.1]
tāvadvāraṃ pacedyatnādyāvadbhasma prajāyate | [RCūM, 4 45.2]
guḍagugguluguñjājyasāraghaiḥ parimardya tat | [RCūM, 4 46.1]
mūṣāmadhye nirudhyātha dhmānādutthāpitaṃ punaḥ | [RCūM, 4 46.2]
cakrāntena punaḥ kṛtvā palapramitapāradaiḥ | [RCūM, 4 47.1]
liptvā limpetsitārkasya payasā śilayāpi ca | [RCūM, 4 47.2]
pacedgajapuṭairenaṃ vārāṇāṃ khalu viṃśatiḥ | [RCūM, 4 48.1]
puṭe puṭe hi nāgasya kuryādutthānaṃ khalu | [RCūM, 4 48.2]
nīlajyotirdravaiḥ samyag daśavārāṇi ḍhālayet | [RCūM, 4 49.1]
iti siddhaṃ tataḥ sīsaṃ karṣamātrāvaśeṣitam | [RCūM, 4 49.2]
guhyanāgākhyayā proktaṃ śreṣṭhaṃ rasarasāyanam | [RCūM, 4 50.1]
niṣkamātre tu nāge 'smin lohakhāryāṃ drute sati | [RCūM, 4 50.2]
svato lakṣaguṇāṃ haimīṃ śalākāṃ grasati dhruvam | [RCūM, 4 51.1]
kusumbhatailataptaṃ tat svarṇam udgariti dhruvam | [RCūM, 4 51.2]
guhyamārgo 'yamuddiṣṭo vakti svacchandabhairavaḥ | [RCūM, 4 52.1]
tīkṣṇaṃ nīlāñjanopetaṃ dhmātaṃ hi bahuśo dṛḍham | [RCūM, 4 52.2]
mṛdu kṛṣṇaṃ drutadrāvi varanāgaṃ taducyate | [RCūM, 4 53.1]
mṛtasya punarudbhūtiḥ sā coktotthāpanākhyayā | [RCūM, 4 53.2]
drutadravyasya nikṣepo drave taḍḍhālanaṃ matam | [RCūM, 4 54.1]
triṃśatpalamitaṃ nāgaṃ bhānudugdhena marditam | [RCūM, 4 54.2]
vimardya puṭayettāvadyāvat karṣāvaśeṣitam | [RCūM, 4 55.1]
na tatpuṭasahasreṇa kṣayamāyāti sarvadā | [RCūM, 4 55.2]
capalo'yaṃ samuddiṣṭo vārttikairnāgasambhavaḥ | [RCūM, 4 56.1]
itthaṃ ca capalaḥ kāryo vaṅgasyāpi na saṃśayaḥ | [RCūM, 4 56.2]
tatspṛṣṭahastasaṃspṛṣṭaḥ kevalo badhyate rasaḥ | [RCūM, 4 57.1]
sa raso dhātuvādeṣu śasyate na rasāyane | [RCūM, 4 57.2]
ayaṃ hi kharpaṇākhyena lokanāthena kīrtitaḥ | [RCūM, 4 58.1]
bhrāmakāśmarajaḥ sūkṣmaṃ pañcamāṃśarasānvitam | [RCūM, 4 58.2]
kumārīmūlatoyena mardayedekavāsaram | [RCūM, 4 59.1]
cāṅgerīsvarasenāpi dinamekamanāratam | [RCūM, 4 59.2]
evaṃ bhūnāgadhautena mardayeddivasatrayam | [RCūM, 4 60.1]
athaikapalanāgena tāvatā trapuṇāpi ca | [RCūM, 4 60.2]
daśaniṣkarasendreṇa ślakṣṇāṃ piṣṭīṃ samācaret | [RCūM, 4 61.1]
yojayitvātha kalkena yathāpūrvaṃ vimardayet | [RCūM, 4 61.2]
tataḥ sārarasendreṇa sattvena rasakasya ca | [RCūM, 4 62.1]
piṣṭīṃ kṛtvā tu pūrveṇa pūrvakalkena yojayet | [RCūM, 4 62.2]
agniṃ prajvālya soṣṇena kāñjikena praśoṣayet | [RCūM, 4 63.1]
palārdhaṃ śuddhasasyena bhṛṣṭaguñjārasena ca | [RCūM, 4 63.2]
vimardya kāñjikaiḥ kuryānmaricapramitā vaṭīḥ | [RCūM, 4 64.1]
nirudhya vajramūṣāyāṃ saṃdhibandhaṃ vidhāya ca | [RCūM, 4 64.2]
śikhitrairnavabhiḥ samyagbhastrābhyāṃ ca dhametkhalu | [RCūM, 4 65.1]
tato mūṣāgataṃ sattvaṃ samādāya samantataḥ | [RCūM, 4 65.2]
dhamet prakaṭamūṣāyāṃ vaṅkanālena śuddhaye | [RCūM, 4 66.1]
daśaśāṇaṃ hi tatsattvaṃ bhasmanā lavaṇena ca | [RCūM, 4 66.2]
sakāñjikena saṃveṣṭya puṭayogena śoṣayet | [RCūM, 4 67.1]
dviniṣkapramite tasmin pūrvaproktena bhasmanā | [RCūM, 4 67.2]
aśītiguṇitaṃ nāgaṃ dhmātvā nirvāhayet khalu | [RCūM, 4 68.1]
iyatā pūrvasūto'sau jāryate na kathaṃcana | [RCūM, 4 68.2]
capalo'yaṃ samuddiṣṭo lokanāthena śambhunā | [RCūM, 4 69.1]
anenāpi rasaḥ śīghraṃ badhyate pūrvavat sukham | [RCūM, 4 69.2]
kāravallījaṭācūrṇairdaśadhā puṭito hi sa | [RCūM, 4 70.1]
bhavennāgavinirmukto grāsaṃ gṛhṇātyaśeṣataḥ | [RCūM, 4 70.2]
mukhaṃ prakaṭamūṣāyāṃ bhaveccātiguṇottaram | [RCūM, 4 71.1]
jīrṇagrāso raso hyeṣa dehalohakaro bhavet | [RCūM, 4 71.2]
so'yaṃ śrīsomadevena kathito'tīva niścitam | [RCūM, 4 71.3]
bhūbhujaṃgaśakṛttoyaiḥ prakṣālyāpahṛtaṃ rajaḥ | [RCūM, 4 72.1]
kṛṣṇavarṇaṃ hi tatproktaṃ dhautākhyaṃ rasavādibhiḥ | [RCūM, 4 72.2]
dravyayormelanaṃ dhmānād dvaṃdvanaṃ parikīrtitam | [RCūM, 4 73.1]
bhāgādrūpyādike kṣepamanuvarṇasuvarṇake | [RCūM, 4 73.2]
dalair vā varṇikāhrāso bhañjinī vādibhirmatā | [RCūM, 4 74.1]
pataṃgikalkato jātā lohe tāratvahematā | [RCūM, 4 74.2]
dināni katicit sthitvā yātyasau palikā matā | [RCūM, 4 75.1]
rañjitaśca rasāllohād dhmānādvā cirakālataḥ | [RCūM, 4 75.2]
viniryāti sa nirdiṣṭaḥ pataṅgīrāgasaṃjñikaḥ | [RCūM, 4 75.3]
drute dravyāntare kṣepo lohādyaiḥ kriyate hi yaḥ | [RCūM, 4 76.1]
sa āvāpaḥ pratīvāpaḥ sa evācchādanaṃ matam | [RCūM, 4 76.2]
drute vahnisthite lauhe viramyāṣṭanimeṣakam | [RCūM, 4 77.1]
salilasya parikṣepaḥ so'bhiṣeka itīritaḥ | [RCūM, 4 77.2]
taptasyāpsu vinikṣepo nirvāpaḥ snapanaṃ ca tat | [RCūM, 4 78.1]
pratīvāpādikaṃ kāryaṃ drutalohe sunirmale | [RCūM, 4 78.2]
yadā hutāśo dīptārciḥ śuklotthānasamanvitaḥ | [RCūM, 4 79.1]
śuddhāvartastadā jñeyaḥ sa kālaḥ sattvanirgame | [RCūM, 4 79.2]
drāvyadravyanibhā jvālā dṛśyate dhamane yadā | [RCūM, 4 80.1]
drāvasyonmukhatā seyaṃ bījāvartaḥ sa ucyate | [RCūM, 4 80.2]
vahnisthameva śītaṃ yat taduktaṃ svāṅgaśītalam | [RCūM, 4 81.1]
agnerākṛṣṭaśītaṃ ca tadbahiḥśītamīritam | [RCūM, 4 81.2]
kṣārāmlairauṣadhair vāpi dolāyantre sthitasya hi | [RCūM, 4 82.1]
pacanaṃ svedanākhyaṃ syānmalaśaithilyakārakam | [RCūM, 4 82.2]
uddiṣṭairauṣadhaiḥ sārdhaṃ sarvāmlaiḥ kāñjikairapi | [RCūM, 4 83.1]
peṣaṇaṃ mardanākhyaṃ syādbahirmalavināśanam | [RCūM, 4 83.2]
mardanoddiṣṭabhaiṣajyairnaṣṭapiṣṭatvakārakam | [RCūM, 4 84.1]
tanmūrchanaṃ hi vaṅgādribhūjakañcukanāśanam | [RCūM, 4 84.2]
svarūpasya vināśena piṣṭatāpādanaṃ hi yat | [RCūM, 4 85.1]
vidvadbhirnirjitaḥ sūto naṣṭapiṣṭaḥ sa ucyate | [RCūM, 4 85.2]
svedātapādiyogena svarūpāpādanaṃ hi yat | [RCūM, 4 86.1]
tadutthāpanamityuktaṃ mūrchāvyāpattināśanam | [RCūM, 4 86.2]
uktauṣadhairmarditapāradasya yantrasthitasyordhvamadhaśca tiryak | [RCūM, 4 87.1]
niryātanaṃ pātanasaṃjñayoktaṃ vaṅgāhisamparkajakañcukaghnam | [RCūM, 4 87.2]
jalasaindhavayuktasya rasasya divasatrayam | [RCūM, 4 88.1]
sthitirāsthāpanī kumbhe yāsau rodhanamucyate | [RCūM, 4 88.2]
rodhanāllabdhavīryasya capalatvanivṛttaye | [RCūM, 4 89.1]
kriyate yo ghaṭe svedaḥ proktaṃ niyamanaṃ hi tat | [RCūM, 4 89.2]
dhātupāṣāṇamūlādyaiḥ saṃyukto ghaṭamadhyagaḥ | [RCūM, 4 90.1]
grāsārthaṃ tridinaṃ svedo dīpanaṃ tanmataṃ budhaiḥ | [RCūM, 4 90.2]
iyanmānasya sūtasya grāsadravyātmikā mitiḥ | [RCūM, 4 91.1]
iyatītyucyate yāsau grāsamānamitīritam | [RCūM, 4 91.2]
grāsasya cāraṇaṃ garbhe drāvaṇaṃ jāraṇaṃ tathā | [RCūM, 4 92.1]
iti trirūpā nirdiṣṭā jāraṇā varavārttikaiḥ | [RCūM, 4 92.2]
grāsaḥ piṇḍaḥ parīṇāmaḥ tisraścākhyāḥ parāḥ smṛtāḥ | [RCūM, 4 93.1]
samukhā nirmukhā ceti jāraṇā dvividhā punaḥ | [RCūM, 4 93.2]
nirmukhā jāraṇā proktā bījādānena bhāgataḥ | [RCūM, 4 94.1]
śuddhaṃ svarṇaṃ ca rūpyaṃ ca bījamityabhidhīyate | [RCūM, 4 94.2]
catuḥṣaṣṭyaṃśato bījaprakṣepo mukhamucyate | [RCūM, 4 95.1]
evaṃ kṛte raso grāsalolupo mukhavānbhavet | [RCūM, 4 95.2]
kaṭhinānyapi lohāni bhakṣituṃ bhavati kṣamaḥ | [RCūM, 4 96.1]
iyaṃ hi samukhā proktā jāraṇā mṛgacāriṇā | [RCūM, 4 96.2]
divyauṣadhisamāyogātsthitaḥ prakaṭakoṣṭhiṣu | [RCūM, 4 97.1]
bhuṅkte nikhilalohādyaṃ yo'sau rākṣasavaktravān | [RCūM, 4 97.2]
rasasya vadane grāsakṣepaṇaṃ cāraṇā matā | [RCūM, 4 98.1]
grastasya drāvaṇaṃ garbhe garbhadrutirudāhṛtā | [RCūM, 4 98.2]
bahireva drutīkṛtya ghanasattvādikaṃ khalu | [RCūM, 4 99.1]
jāraṇāya rasendrasya sā bāhyā drutirucyate | [RCūM, 4 99.2]
nirlepatvaṃ dravatvaṃ ca tejastvaṃ laghutā tathā | [RCūM, 4 100.1]
drutaṃ yogaśca sūtena pañcadhā drutilakṣaṇam | [RCūM, 4 100.2]
tuṣadhānyādiyogena lohadhātvādikaṃ sadā | [RCūM, 4 101.1]
saṃtiṣṭhate dravākāraṃ sā drutiḥ parikīrtitā | [RCūM, 4 101.2]
drutagrāsaparīṇāmo viḍayantrādiyogataḥ | [RCūM, 4 102.1]
jāraṇetyucyate tasyāḥ prakārāḥ santi koṭiśaḥ | [RCūM, 4 102.2]
kṣārairamlaiśca gandhādyairmūtraiśca paṭubhistathā | [RCūM, 4 103.1]
rasagrāsasya jīrṇārthaṃ tadviḍaṃ parikīrtitam | [RCūM, 4 103.2]
susiddhabījadhātvādijāraṇena rasasya hi | [RCūM, 4 104.1]
pītādirāgajananaṃ rañjanaṃ parikīrtitam | [RCūM, 4 104.2]
sūte satailayantrasthe svarṇādikṣepaṇaṃ hi yat | [RCūM, 4 105.1]
vedhādhikyakaraṃ lohe sāraṇā sā prakīrtitā | [RCūM, 4 105.2]
vyavāyibheṣajopeto dravye kṣipto rasaḥ khalu | [RCūM, 4 106.1]
vedha ityucyate tajjñaiḥ sa cānekavidhaḥ smṛtaḥ | [RCūM, 4 106.2]
lepaḥ kṣepaśca kuntaśca dhūmākhyaḥ śabdasaṃjñakaḥ | [RCūM, 4 107.1]
lepena kurute lohaṃ svarṇaṃ vā rajataṃ tathā | [RCūM, 4 107.2]
lepavedhaḥ sa vijñeyaḥ puṭamatra ca saukaram | [RCūM, 4 108.1]
prakṣepaṇaṃ drute lohe vedhaḥ syāt kṣepasaṃjñitaḥ | [RCūM, 4 108.2]
saṃdaṃśadhṛtasūtena drutadravyāhṛtiśca yā | [RCūM, 4 109.1]
suvarṇatvādikaraṇī kuntavedhaḥ sa kathyate | [RCūM, 4 109.2]
vahnau dhūmāyamāne'ntaḥ prakṣiptarasadhūmataḥ | [RCūM, 4 110.1]
