{VSM, 1}
iṣe tvā | [VSM, 1 1.1]
idam agnīṣomayoḥ | [VSM, 1 22.3]
iṣe tvā | [VSM, 1 22.4]
gharmo 'si viśvāyuḥ | [VSM, 1 22.5]
uruprathā uru prathasvoru te yajñapatiḥ prathatām | [VSM, 1 22.6]
agniṣ ṭe tvacaṃ mā hiṃsīt | [VSM, 1 22.7]
devas tvā savitā śrapayatu varṣiṣṭhe 'dhi nāke | [VSM, 1 22.8]
mā bher mā saṃvikthāḥ | [VSM, 1 23.1]
atamerur yajño 'tamerur yajamānasya prajā bhūyāt | [VSM, 1 23.2]
tritāya tvā | [VSM, 1 23.3]
dvitāya tvā | [VSM, 1 23.4]
ekatāya tvā | [VSM, 1 23.5]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 1 24.1]
ādade 'dhvarakṛtaṃ devebhyaḥ | [VSM, 1 24.2]
indrasya bāhur asi dakṣiṇaḥ sahasrabhṛṣṭiḥ śatatejā vāyur asi tigmatejā dviṣato vadhaḥ | [VSM, 1 24.3]
pṛthivi devayajany oṣadhyās te mūlaṃ mā hiṃsiṣam | [VSM, 1 25.1]
vrajaṃ gaccha goṣṭhānam | [VSM, 1 25.2]
varṣatu te dyauḥ | [VSM, 1 25.3]
badhāna deva savitaḥ paramasyāṃ pṛthivyāṃ śatena pāśair yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tam ato mā mauk | [VSM, 1 25.4]
apāraruṃ pṛthivyai devayajanād badhyāsam | [VSM, 1 26.1]
vrajaṃ gaccha goṣṭhānam | [VSM, 1 26.2]
varṣatu te dyauḥ | [VSM, 1 26.3]
badhāna deva savitaḥ paramasyāṃ pṛthivyāṃ śatena pāśair yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tam ato mā mauk | [VSM, 1 26.4]
araro divaṃ mā paptaḥ | [VSM, 1 26.5]
drapsas te dyāṃ mā skan | [VSM, 1 26.6]
vrajaṃ gaccha goṣṭhānam | [VSM, 1 26.7]
varṣatu te dyauḥ | [VSM, 1 26.8]
badhāna deva savitaḥ paramasyāṃ pṛthivyāṃ śatena pāśair yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tam ato mā mauk | [VSM, 1 26.9]
gāyatreṇa tvā chandasā parigṛhṇāmi | [VSM, 1 27.1]
traiṣṭubhena tvā chandasā parigṛhṇāmi | [VSM, 1 27.2]
jāgatena tvā chandasā parigṛhṇāmi | [VSM, 1 27.3]
sukṣmā cāsi śivā cāsi | [VSM, 1 27.4]
syonā cāsi suṣadā cāsi | [VSM, 1 27.5]
ūrjasvatī cāsi payasvatī ca | [VSM, 1 27.6]
purā krūrasya visṛpo virapśinn udādāya pṛthivīṃ jīvadānum | [VSM, 1 28.1]
yām airayaṃś candramasi svadhābhis tām u dhīrāso anudiśya yajante | [VSM, 1 28.2]
prokṣaṇīr āsādaya | [VSM, 1 29.1]
dviṣato vadho 'si | [VSM, 1 29.2]
pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ | [VSM, 1 30.1]
niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ | [VSM, 1 30.2]
aniśito 'si sapatnakṣid vājinaṃ tvā vājedhyāyai saṃmārjmi | [VSM, 1 30.3]
pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ | [VSM, 1 30.4]
niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ | [VSM, 1 30.5]
aniśitāsi sapatnakṣid vājinīṃ tvā vājedhyāyai saṃmārjmi | [VSM, 1 30.6]
adityai rāsnāsi | [VSM, 1 31.1]
viṣṇor veṣyo 'si | [VSM, 1 31.2]
ūrje tvā | [VSM, 1 31.3]
adabdhena tvā cakṣuṣāvapaśyāmi | [VSM, 1 31.4]
agner jihvāsi suhūr devebhyo dhāmne dhāmne me bhava yajuṣe yajuṣe | [VSM, 1 31.5]
savitus tvā prasava utpunāmy acchidreṇa pavitreṇa sūryasya raśmibhiḥ | [VSM, 1 32.1]
savitur vaḥ prasava utpunāmy acchidreṇa pavitreṇa sūryasya raśmibhiḥ | [VSM, 1 32.2]
tejo 'si śukram asy amṛtam asi | [VSM, 1 32.3]
dhāma nāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanam asi | [VSM, 1 32.4]
{VSM, 2}
kṛṣṇo 'sy ākhareṣṭho 'gnaye tvā juṣṭaṃ prokṣāmi | [VSM, 2 1.1]
vedir asi barhiṣe tvā juṣṭāṃ prokṣāmi | [VSM, 2 1.2]
barhir asi srugbhyas tvā juṣṭaṃ prokṣāmi | [VSM, 2 1.3]
adityai vyundanam asi | [VSM, 2 2.1]
viṣṇo stupo 'si | [VSM, 2 2.2]
ūrṇamradasaṃ tvā stṛṇāmi svāsasthāṃ devebhyaḥ | [VSM, 2 2.3]
bhuvapataye svāhā | [VSM, 2 2.4]
bhuvanapataye svāhā | [VSM, 2 2.5]
bhūtānāṃ pataye svāhā | [VSM, 2 2.6]
gandharvas tvā viśvāvasuḥ paridadhātu viśvasyāriṣṭyai yajamānasya paridhir asy agnir iḍa īḍitaḥ | [VSM, 2 3.1]
indrasya bāhur asi dakṣiṇo viśvāvasuḥ paridadhātu viśvasyāriṣṭyai yajamānasya paridhir asy agnir iḍa īḍitaḥ | [VSM, 2 3.2]
mitrāvaruṇau tvottarataḥ paridhattāṃ dhruveṇa dharmaṇā viśvasyāriṣṭyai yajamānasya paridhir asy agnir iḍa īḍitaḥ | [VSM, 2 3.3]
vītihotraṃ tvā kave dyumantaṃ samidhīmahi | [VSM, 2 4.1]
agne bṛhantam adhvare | [VSM, 2 4.2]
samid asi | [VSM, 2 5.1]
sūryas tvā purastāt pātu kasyāścid abhiśastyai | [VSM, 2 5.2]
savitur bāhū sthaḥ | [VSM, 2 5.3]
ūrṇamradasaṃ tvā stṛṇāmi svāsasthaṃ devebhyaḥ | [VSM, 2 5.4]
ā tvā vasavo rudrā ādityāḥ sadantu | [VSM, 2 5.5]
ghṛtācy asi juhūr nāmnā sedaṃ priyeṇa dhāmnā priyaṃ sada āsīda | [VSM, 2 6.1]
ghṛtācy asy upabhṛn nāmnā sedaṃ priyeṇa dhāmnā priyaṃ sada āsīda | [VSM, 2 6.2]
ghṛtācy asi dhruvā nāmnā sedaṃ priyeṇa dhāmnā priyaṃ sada āsīda | [VSM, 2 6.3]
priyeṇa dhāmnā priyaṃ sada āsīda | [VSM, 2 6.4]
dhruvā asadann ṛtasya yonau tā viṣṇo pāhi | [VSM, 2 6.5]
pāhi yajñaṃ | [VSM, 2 6.6]
pāhi yajñapatim | [VSM, 2 6.7]
pāhi māṃ yajñanyam | [VSM, 2 6.8]
agne vājajid vājaṃ tvā sariṣyantaṃ vājajitaṃ saṃmārjmi | [VSM, 2 7.1]
namo devebhyaḥ | [VSM, 2 7.2]
svadhā pitṛbhyaḥ | [VSM, 2 7.3]
suyame me bhūyāstam | [VSM, 2 7.4]
askannam adya devebhya ājyaṃ saṃbhriyāsam | [VSM, 2 8.1]
aṅghriṇā viṣṇo mā tvāvakramiṣam | [VSM, 2 8.2]
vasumatīm agne te chāyām upastheṣaṃ viṣṇo sthānam asi | [VSM, 2 8.3]
ita indro vīryam akṛṇod ūrdhvo 'dhvara āsthāt | [VSM, 2 8.4]
agne ver hotraṃ ver dūtyam | [VSM, 2 9.1]
avatāṃ tvāṃ dyāvāpṛthivī | [VSM, 2 9.2]
ava tvaṃ dyāvāpṛthivī sviṣṭakṛd devebhya indra ājyena haviṣā bhūt svāhā | [VSM, 2 9.3]
saṃ jyotiṣā jyotiḥ | [VSM, 2 9.4]
mayīdam indra indriyaṃ dadhātv asmān rāyo maghavānaḥ sacantām | [VSM, 2 10.1]
asmākaṃ santv āśiṣaḥ satyā naḥ santv āśiṣaḥ | [VSM, 2 10.2]
upahūtā pṛthivī mātopa māṃ pṛthivī mātā hvayatām | [VSM, 2 10.3]
agnir āgnīdhrāt svāhā | [VSM, 2 10.4]
upahūto dyauṣpitopa māṃ dyauṣpitā hvayatām agnir āgnīdhrāt svāhā | [VSM, 2 11.1]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 2 11.2]
pratigṛhṇāmi | [VSM, 2 11.3]
agneṣ ṭvāsyena prāśnāmi | [VSM, 2 11.4]
etaṃ te deva savitar yajñaṃ prāhur bṛhaspataye brahmaṇe | [VSM, 2 12.1]
tena yajñam ava | [VSM, 2 695931_1]
tena yajñapatim tena mām ava | [VSM, 2 695931_2]
manaḥ jūtiḥ juṣatām ājyasya | [VSM, 2 695932_1]
bṛhaspatiḥ yajñam imam tanotu | [VSM, 2 695932_2]
ariṣṭam yajñam sam imam dadhātu | [VSM, 2 695933_1]
eṣā te agne samit tayā vardhasva cā ca pyāyasva | [VSM, 2 14.1]
vardhiṣīmahi ca vayam ā ca pyāsiṣīmahi | [VSM, 2 14.2]
agne vājajid vājaṃ tvā sasṛvāṃsaṃ vājajitaṃ saṃmārjmi | [VSM, 2 14.3]
agnīṣomayor ujjitim anūjjeṣaṃ vājasya mā prasavena prohāmi | [VSM, 2 15.1]
agnīṣomau tam apanudatāṃ yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo vājasyainaṃ prasavenāpohāmi | [VSM, 2 15.2]
indrāgnyor ujjitim anūjjeṣaṃ vājasya mā prasavena prohāmi | [VSM, 2 15.3]
indrāgnī tam apanudatāṃ yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo vājasyainaṃ prasavenāpohāmi | [VSM, 2 15.4]
vasubhyas tvā | [VSM, 2 16.1]
rudrebhyas tvā | [VSM, 2 16.2]
ādityebhyas tvā | [VSM, 2 16.3]
saṃjānāthāṃ dyāvāpṛthivī | [VSM, 2 16.4]
mitrāvaruṇau tvā vṛṣṭyāvatām | [VSM, 2 16.5]
vyantu vayo 'ktaṃ rihāṇāḥ | [VSM, 2 16.6]
marutāṃ pṛṣatīr gaccha vaśā pṛśnir bhūtvā divaṃ gaccha tato no vṛṣṭim āvaha | [VSM, 2 16.7]
cakṣuṣpā agne 'si cakṣur me pāhi | [VSM, 2 16.8]
yaṃ paridhiṃ paryadhatthā agne deva paṇibhir guhyamānaḥ | [VSM, 2 17.1]
taṃ ta etam anu joṣaṃ bharāmy eṣa net tvad apacetayātai | [VSM, 2 17.2]
agneḥ priyaṃ pātho 'pītam | [VSM, 2 17.3]
saṃsravabhāgā stheṣā bṛhantaḥ prastareṣṭhāḥ paridheyāś ca devāḥ | [VSM, 2 18.1]
imāṃ vācam abhi viśve gṛṇanta āsadyāsmin barhiṣi mādayadhvam | [VSM, 2 18.2]
svāhā vāṭ | [VSM, 2 18.3]
ghṛtācī stho dhuryau pātaṃ sumne sthaḥ sumne mā dhattam | [VSM, 2 19.1]
yajña namaś ca ta upa ca yajñasya śive saṃtiṣṭhasva sviṣṭe me saṃtiṣṭhasva | [VSM, 2 19.2]
agne 'dabdhāyo 'śītama pāhi mā didyoḥ | [VSM, 2 20.1]
pāhi prasityai | [VSM, 2 20.2]
pāhi duriṣṭyai | [VSM, 2 20.3]
pāhi duradmanyā aviṣaṃ naḥ pituṃ kṛṇu | [VSM, 2 20.4]
suṣadā yonau svāhā vāṭ | [VSM, 2 20.5]
agnaye saṃveśapataye svāhā | [VSM, 2 20.6]
sarasvatyai yaśobhaginyai svāhā | [VSM, 2 20.7]
vedo 'si yena tvaṃ deva veda devebhyo vedo 'bhavas tena mahyaṃ vedo bhūyāḥ | [VSM, 2 21.1]
devā gātuvido gātuṃ vittvā gātum ita | [VSM, 2 21.2]
manasaspata imaṃ deva yajñaṃ svāhā vāte dhāḥ | [VSM, 2 21.3]
saṃ barhir aṅktāṃ haviṣā ghṛtena sam ādityair vasubhiḥ saṃ marudbhiḥ | [VSM, 2 22.1]
sam indro viśvadevebhir aṅktāṃ divyaṃ nabho gacchatu yat svāhā | [VSM, 2 22.2]
kas tvā vimuñcati sa tvā vimuñcati kasmai tvā vimuñcati tasmai tvā vimuñcati | [VSM, 2 23.1]
poṣāya | [VSM, 2 23.2]
rakṣasāṃ bhāgo 'si | [VSM, 2 23.3]
saṃ varcasā payasā saṃ tanūbhir aganmahi manasā saṃ śivena | [VSM, 2 24.1]
tvaṣṭā sudatro vidadhātu rāyo 'numārṣṭi tanvo yad viliṣṭam | [VSM, 2 24.2]
divi viṣṇur vyakraṃsta jāgatena chandasā tato nirbhakto yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ | [VSM, 2 25.1]
antarikṣe viṣṇur vyakraṃsta jāgatena chandasā tato nirbhakto yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ | [VSM, 2 25.2]
pṛthivyāṃ viṣṇur vyakraṃsta jāgatena chandasā tato nirbhakto yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ | [VSM, 2 25.3]
asmād annāt | [VSM, 2 25.4]
asyai pratiṣṭhāyai | [VSM, 2 25.5]
aganma svaḥ | [VSM, 2 25.6]
saṃ jyotiṣābhūma | [VSM, 2 25.7]
svayambhūr asi śreṣṭho raśmir varcodā asi varco me dehi | [VSM, 2 26.1]
sūryasyāvṛtam anvāvarte | [VSM, 2 26.2]
agne gṛhapate sugṛhapatis tvayāgne 'haṃ gṛhapatinā bhūyāsaṃ sugṛhapatis tvaṃ mayāgne gṛhapatinā bhūyāḥ | [VSM, 2 27.1]
asthūri ṇau gārhapatyāni santu śataṃ himāḥ | [VSM, 2 27.2]
sūryasyāvṛtam anvāvarte | [VSM, 2 27.3]
agne vratapate vratam acāriṣaṃ tad aśakaṃ tan me 'rādhi | [VSM, 2 28.1]
idam ahaṃ ya evāsmi so 'smi | [VSM, 2 28.2]
agnaye kavyavāhanāya svāhā | [VSM, 2 29.1]
somāya pitṛmate svāhā | [VSM, 2 29.2]
apahatā asurā rakṣāṃsi vediṣadaḥ | [VSM, 2 29.3]
ye rūpāṇi pratimuñcamānā asurāḥ santaḥ svadhayā caranti | [VSM, 2 30.1]
parāpuro nipuro ye bharanty agniṣ ṭān lokāt praṇudāty asmāt | [VSM, 2 30.2]
atra pitaro mādayadhvaṃ yathābhāgam āvṛṣāyadhvam | [VSM, 2 31.1]
amīmadanta pitaro yathābhāgam āvṛṣāyiṣata | [VSM, 2 31.2]
namo vaḥ pitaro rasāya | [VSM, 2 32.1]
namo vaḥ pitaraḥ śoṣāya | [VSM, 2 32.2]
namo vaḥ pitaro jīvāya | [VSM, 2 32.3]
namo vaḥ pitaraḥ svadhāyai | [VSM, 2 32.4]
namo vaḥ pitaro ghorāya | [VSM, 2 32.5]
namo vaḥ pitaro manyave namo vaḥ pitaraḥ pitaro namo vaḥ | [VSM, 2 32.6]
gṛhān naḥ pitaro datta sato vaḥ pitaro deṣma | [VSM, 2 32.7]
etad vaḥ pitaro vāsa ādhatta | [VSM, 2 32.8]
ādhatta pitaro garbhaṃ kumāraṃ puṣkarasrajam | [VSM, 2 33.1]
yatheha puruṣo 'sat | [VSM, 2 33.2]
ūrjaṃ vahantīr amṛtaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutam | [VSM, 2 34.1]
svadhā stha tarpayata me pitṝn | [VSM, 2 34.2]
{VSM, 3}
samidhā agnim duvasyata | [VSM, 3 696007_1]
ghṛtaiḥ bodhayata atithim | [VSM, 3 696007_2]
ā asmin havyā juhotana | [VSM, 3 696008_1]
su samiddhāya śociṣe ghṛtam tīvram juhotana agnaye jātavedase | [VSM, 3 696009_1]
tam tvā samidbhiḥ aṅgiraḥ ghṛtena vardhayāmasi bṛhat śoce yaviṣṭhya | [VSM, 3 696011_1]
upa tvā agne haviṣmatīḥ ghṛtācīḥ yantu haryata | [VSM, 3 696013_1]
juṣasva samidhaḥ mama | [VSM, 3 696014_1]
bhūr bhuvaḥ svaḥ | [VSM, 3 5.1]
dyauḥ iva bhūmnā | [VSM, 3 696016_1]
pṛthivī iva varimṇā | [VSM, 3 696016_2]
tasyāḥ te pṛthivi deva yajani pṛṣṭhe agnim anna adam annādyāya ādadhe | [VSM, 3 696017_1]
ā ayam gauḥ pṛśniḥ akramīt | [VSM, 3 696018_1]
asadat mātaram puras pitaram ca prayan svar | [VSM, 3 696018_2]
antar carati rocanā asya prāṇāt apānatī | [VSM, 3 696020_1]
vyakhyat mahiṣaḥ divam | [VSM, 3 696021_1]
triṃśat dhāma virājati | [VSM, 3 696022_1]
vāc pataṅgāya dhīyate prati vastoḥ aha dyubhiḥ | [VSM, 3 696022_2]
agniḥ jyotiḥ | [VSM, 3 696024_1]
jyotiḥ agniḥ svāhā | [VSM, 3 696024_2]
sūryaḥ jyotiḥ | [VSM, 3 696025_1]
jyotiḥ sūryaḥ svāhā | [VSM, 3 696025_2]
agniḥ varcaḥ | [VSM, 3 696026_1]
jyotiḥ varcaḥ svāhā | [VSM, 3 696026_2]
sūryaḥ varcaḥ | [VSM, 3 696027_1]
jyotiḥ varcaḥ svāhā | [VSM, 3 696027_2]
jyotiḥ sūryaḥ | [VSM, 3 696028_1]
sūryaḥ jyotiḥ svāhā | [VSM, 3 696028_2]
sajūs devena savitrā sajūs rātryā indravatyā juṣāṇaḥ agniḥ vetu svāhā | [VSM, 3 696030_1]
sajūs devena savitrā sajūs uṣasā indravatyā juṣāṇaḥ sūryaḥ vetu svāhā | [VSM, 3 696032_1]
upaprayantaḥ adhvaram mantram vocema agnaye āre asme ca śṛṇvate | [VSM, 3 696033_1]
agniḥ mūrdhā divaḥ kakud | [VSM, 3 696035_1]
patiḥ pṛthivyāḥ ayam | [VSM, 3 696035_2]
apām retāṃsi jinvati | [VSM, 3 696036_1]
ubhā vām indrāgnī āhuvadhyā ubhā rādhasaḥ saha mādayadhyai | [VSM, 3 13.1]
ubhā dātārau iṣām rayīṇām ubhā vājasya sātaye huve vām | [VSM, 3 696038_1]
ayam te yoniḥ ṛtviyaḥ yatas jātaḥ arocathāḥ | [VSM, 3 696039_1]
tam jānan agne āroha | [VSM, 3 696040_1]
atha naḥ vardhaya rayim | [VSM, 3 696040_2]
ayam iha prathamaḥ dhāyi dhātṛbhiḥ hotā yajiṣṭhaḥ adhvareṣu īḍyaḥ yam apnavānaḥ bhṛgavaḥ virurucuḥ vaneṣu citram vibhvam viśe viśe | [VSM, 3 696041_1]
asya pratnām anu dyutam śukram duduhre ahrayaḥ payaḥ sahasra sām ṛṣim | [VSM, 3 696043_1]
tanū pāḥ agne asi | [VSM, 3 696045_1]
tanvam me pāhi | [VSM, 3 696045_2]
āyuḥ dāḥ agne asi | [VSM, 3 696046_1]
āyuḥ me dehi | [VSM, 3 696046_2]
varcaḥ dāḥ agne asi | [VSM, 3 696047_1]
varcaḥ me dehi | [VSM, 3 696047_2]
agne yat me tanvāḥ ūnam tat me āpṛṇa | [VSM, 3 696048_1]
indhānāḥ tvā śatam himāḥ dyumantam samidhīmahi vayasvantaḥ vayaskṛtam sahasvantaḥ sahaskṛtam | [VSM, 3 696049_1]
agne sapatna dambhanam adabdhāsaḥ adābhyam | [VSM, 3 696051_1]
citrāvaso svasti te pāram aśīya | [VSM, 3 696052_1]
sam tvam agne sūryasya varcasā agathāḥ sam ṛṣīṇām stutena | [VSM, 3 696053_1]
sam priyeṇa dhāmnā sam aham āyuṣā sam varcasā sam prajayā sam rāyaspoṣeṇa gmiṣīya | [VSM, 3 696054_1]
andhaḥ stha | [VSM, 3 696055_1]
andhaḥ vaḥ bhakṣīya | [VSM, 3 696055_2]
mahaḥ stha | [VSM, 3 696055_3]
ūrjaḥ stha | [VSM, 3 696055_4]
mahaḥ vaḥ bhakṣīya | [VSM, 3 696055_5]
ūrjam vaḥ bhakṣīya | [VSM, 3 696055_6]
rāyaspoṣaḥ stha | [VSM, 3 696055_7]
rāyaspoṣam vaḥ bhakṣīya | [VSM, 3 696055_8]
revatīḥ ramadhvam asmin yonau asmin goṣṭhe asmin loke asmin kṣaye | [VSM, 3 696056_1]
iha eva sta | [VSM, 3 696057_1]
mā apagāta | [VSM, 3 696057_2]
saṃhitāsi viśvarūpy ūrjā māviśa gaupatyena | [VSM, 3 22.1]
upa tvāgne dive dive doṣāvastar dhiyā vayam | [VSM, 3 22.2]
namo bharanta emasi | [VSM, 3 22.3]
rājantam adhvarāṇāṃ gopām ṛtasya dīdivim | [VSM, 3 23.1]
vardhamāṇaṃ sve dame | [VSM, 3 23.2]
